Gebäudename,Maßnahme Name,Maßnahme Beschreibung,Kosten (in €),Dauer (in Monaten),CO2 Einsparung (in CO2e t),Kostenersparnis (in €) (pro Jahr),Typ,Erledigt
Zentrales Bibliotheksgebäude,Energetische Gebäudesanierung,"Das Dach und die Fassaden werden gedämmt, die Fenster werden ausgetauscht und die Heizungsanlage wird erneuert.",2797199,23,"253,542","100484,6631",Wärme,FALSE
Zentrales Bibliotheksgebäude,LED-Lampen,Alle alten Lampen werden mit LED-Lampen ausgetauscht.,"110969,6215","1,5","12,418875","18279,75262",Strom,FALSE
Zentrales Hörsaalgebäude,PV-Anlage Installation,Installation einer Photovoltaik-Anlage auf dem Dach,2227952,14,"15,39","39417,55",Strom,FALSE
Zentrales Hörsaalgebäude,Energetische Gebäudesanierung,"Das Dach und die Fassaden werden gedämmt, die Fenster werden ausgetauscht und die Heizungsanlage wird erneuert.",3214466,26,"231,426","91718,41114",Wärme,FALSE
Zentrales Hörsaalgebäude,LED-Lampen,Alle alten Lampen werden mit LED-Lampen ausgetauscht.,"79444,60168","1,1","8,25125","12144,17012",Strom,FALSE
Chemie,PV-Anlage Installation,Installation einer Photovoltaik-Anlage auf dem Dach,5656512,35,"39,08",0,Strom,FALSE
Chemie,Energetische Gebäudesanierung,"Das Dach und die Fassaden werden gedämmt, die Fenster werden ausgetauscht und die Heizungsanlage wird erneuert.",5458950,58,"1816,692","719986,3493",Wärme,FALSE
Chemie,LED-Lampen,Alle alten Lampen werden mit LED-Lampen ausgetauscht.,"268934,1857","3,8","97,82675","143996,1307",Strom,FALSE
Rechenzentrum,PV-Anlage Installation,Installation einer Photovoltaik-Anlage auf dem Dach,672112,4,"4,64","11891,19",Strom,FALSE
Rechenzentrum,Energetische Gebäudesanierung,"Das Dach und die Fassaden werden gedämmt, die Fenster werden ausgetauscht und die Heizungsanlage wird erneuert.","940927,3",8,"177,39","70301,02041",Wärme,FALSE
Rechenzentrum,LED-Lampen,Alle alten Lampen werden mit LED-Lampen ausgetauscht.,"15977,50464","0,2","31,3775","46186,97161",Strom,FALSE
Biologie,Pelletheizung Botanischer Garten,Umstellung der Wärmeverversorgung des Gewächshauses des Botanischen Gartens auf Pelletheizung,17500,"0,07","70,12",0,Wärme,FALSE
Mathematik,PV-Anlage Installation,Installation einer Photovoltaik-Anlage auf dem Dach,635120,4,"4,39","11236,72",Strom,FALSE
Mathematik,Energetische Gebäudesanierung,"Das Dach und die Fassaden werden gedämmt, die Fenster werden ausgetauscht und die Heizungsanlage wird erneuert.",1039136,8,"35,214","13956,4119",Wärme,FALSE
Mathematik,LED-Lampen,Alle alten Lampen werden mit LED-Lampen ausgetauscht.,"15098,12761","0,2","1,96875","2902,597035",Strom,FALSE
Mensa,PV-Anlage Installation,Installation einer Photovoltaik-Anlage auf dem Dach,1156000,7,"7,99","20452,27",Strom,FALSE
Mensa,Energetische Gebäudesanierung,"Das Dach und die Fassaden werden gedämmt, die Fenster werden ausgetauscht und die Heizungsanlage wird erneuert.",1371178,11,"152,55","60457,17053",Wärme,FALSE
Mensa,LED-Lampen,Alle alten Lampen werden mit LED-Lampen ausgetauscht.,"13740,26603","0,2","22,045625","32448,09101",Strom,FALSE
Parkhaus 1 + 2 Süd,PV-Anlage Installation,Installation einer Photovoltaik-Anlage auf dem Dach,1138048,7,"7,85","20134,66",Strom,FALSE
Parkhaus 1 + 2 Süd,LED-Lampen,Alle alten Lampen werden mit LED-Lampen ausgetauscht.,"20290,33167","0,3","1,381625","2032,522905",Strom,FALSE
Technische Zentrale,PV-Anlage Installation,Installation einer Photovoltaik-Anlage auf dem Dach,161840,1,"1,11","2863,32",Strom,FALSE
Technische Zentrale,Energetische Gebäudesanierung,"Das Dach und die Fassaden werden gedämmt, die Fenster werden ausgetauscht und die Heizungsanlage wird erneuert.","299616,1",2,"25,626","10156,80465",Wärme,FALSE
Technische Zentrale,LED-Lampen,Alle alten Lampen werden mit LED-Lampen ausgetauscht.,"2885,455866","0,04","38,429125","56565,47895",Strom,FALSE
Fahrzeughalle,PV-Anlage Installation,Installation einer Photovoltaik-Anlage auf dem Dach,0,0,0,0,Strom,TRUE
Fahrzeughalle,E-Dienstfahrzeuge,Alle Verbrenner-Dienstfahrzeuge werden durch E-Dienstfahrzeuge ersetzt.,12000000,3,"31,8","7386,15",Mobilität,FALSE
Entsorgungszentrum,PV-Anlage Installation,Installation einer Photovoltaik-Anlage auf dem Dach,0,0,0,0,Strom,TRUE
Entsorgungszentrum,Energetische Gebäudesanierung,"Das Dach und die Fassaden werden gedämmt, die Fenster werden ausgetauscht und die Heizungsanlage wird erneuert.","295780,7",2,"20,994","8321,751708",Wärme,FALSE
